jugador_id,nombre_jugador
503,Séamus Coleman
504,Mateus Mané
505,Joachim Kayi-Sanda
506,Harry Howell
507,Rodri
508,Olabade Aluko
509,Claudio Echeverri
510,Jonny Evans
511,James Milner
512,Tom King
513,Hugo Ekitiké
514,Jeremie Frimpong
515,Adrien Truffert
516,Florian Wirtz
517,Bafodé Diakité
518,Djordje Petrovic
519,Joe Gomez
520,Hamed Traoré
521,Eli Kroupi
522,Marco Bizot
523,Maxim De Cuyper
524,Ferdi Kadioglu
525,Granit Xhaka
526,Noah Sadiki
527,Eliezer Mayenda
528,El Hadji Malick Diouf
529,Nayef Aguerd
530,Dan Ballard
531,Robin Roefs
532,Reinildo Mandava
533,Jenson Seelt
534,Trai Hume
535,Chemsdine Talbi
536,Habib Diarra
537,Omar Alderete
538,Enzo Le Fée
539,Wilson Isidor
540,Chris Rigg
541,Maxime Estève
542,Quilindschy Hartman
543,Josh Cullen
544,Hjalmar Ekdal
545,Josh Laurent
546,Oliver Sonne
547,Lyle Foster
548,Hannibal Mejbri
549,Jaidon Anthony
550,Jacob Bruun Larsen
551,Zian Flemming
552,Loum Tchaouna
553,João Palhinha
554,Marcus Edwards
555,James Trafford
556,David Møller Wolfe
557,Tijjani Reijnders
558,Ki-Jana Hoever
559,Hugo Bueno
560,Fer López
561,Jhon Arias
562,Rayan Cherki
563,Jamie Gittens
564,Estêvão
565,Andrey Santos
566,Viktor Gyökeres
567,Martín Zubimendi
568,Benjamin Sesko
569,Antoni Milambo
570,Dan Ndoye
571,Frank Onyeka
572,Jordan Henderson
573,Igor Jesus
574,Aaron Hickey
575,Ethan Ampadu
576,Ao Tanaka
577,Joël Piroe
578,Anton Stach
579,Jayden Bogle
580,Pascal Struijk
581,Wilfried Gnonto
582,Gabriel Gudmundsson
583,Joe Rodon
584,Daniel James
585,Lucas Perri
586,Brenden Aaronson
587,Lukas Nmecha
588,Ilia Gruev
589,Thierno Barry
590,Freddie Potts
591,Jorrel Hato
592,Max Dowman
593,Cristhian Mosquera
594,Noah Okafor
595,Sam Byram
596,Jackson Tchatchoua
597,Amine Adli
598,Evann Guessand
599,Patrick Roberts
600,Joe Worrall
601,Arnaud Kalimuendo
602,Odsonne Édouard
603,Malick Thiaw
604,Rio Ngumoha
605,Nordi Mukiele
606,Sasa Kalajdzic
607,Yéremy Pino
608,Bradley Burrowes
609,Diego Coppola
353377,Bryan Mbeumo
401168,Mikkel Damsgaard
279379,Gabriel Jesus
238916,Mikel Merino
380706,Gabriel Martinelli
92547,Ross Barkley
318750,Stephy Mavididi
327682,Leon Bailey
384134,Ian Maatsen
295084,David Brooks
424273,Milos Kerkez
456771,Ethan Nwaneri
373525,João Pedro
395692,Cole Palmer
346300,Jadon Sancho
328096,Jean-Philippe Mateta
332403,Eberechi Eze
111372,Vladimír Coufal
315227,Erling Haaland
397821,Savinho
331254,Phil Foden
73084,Kevin De Bruyne
104058,Niclas Füllkrug
143595,Tomás Soucek
407260,Kevin Schade
296240,Yoane Wissa
368512,Keane Lewis-Potter
136459,Dominic Solanke
362352,Pedro Porro
349669,Anthony Gordon
338780,Bruno Guimarães
299254,Alexander Isak
141486,Jacob Murphy
138686,Sam Szmodics
108186,Raúl Jiménez
401254,Liam Delap
340105,Lisandro Martínez
123761,Bruno Fernandes
352825,Cody Gakpo
345319,Alexis Mac Allister
108226,Mohamed Salah
386634,Amad Diallo
332867,Morgan Gibbs-White
413211,Anthony Elanga
73380,Chris Wood
350088,Callum Hudson-Odoi
281049,Taiwo Awoniyi
105172,James Ward-Prowse
329554,Mads Roerslev
101856,Christian Nørgaard
426050,Nicolas Jackson
331579,Justin Kluivert
357073,Antoine Semenyo
128882,Ryan Christie
361330,Reece James
235755,Diogo Jota
301455,Kostas Tsimikas
313542,Carlos Soler
331924,Aaron Wan-Bissaka
136824,Alex Iwobi
306581,Antonee Robinson
319756,Lucas Paquetá
91762,Danny Ings
91909,Son Heung-Min
113994,Leandro Trossard
247454,Martin Ødegaard
148503,Ollie Watkins
362824,Morgan Rogers
322670,Ismaïla Sarr
374631,Marc Guéhi
425142,Kaoru Mitoma
342889,Matt O'Riley
362433,Georginio Rutter
408962,Manuel Ugarte
69344,Christian Eriksen
326413,Kai Havertz
136345,Youri Tielemans
89925,Lucas Digne
322043,Matty Cash
400828,Darwin Núñez
318871,Trent Alexander-Arnold
363982,Harvey Elliott
363686,Emile Smith Rowe
297395,Sasa Lukic
140088,Adama Traoré
333044,Harry Wilson
430294,Lewis Hall
422183,Dango Ouattara
315275,Tyler Adams
351127,Konstantinos Mavropanos
141469,Dominic Calvert-Lewin
80464,Idrissa Gueye
366116,Iliman Ndiaye
429922,Archie Gray
355855,Dejan Kulusevski
317804,Richarlison
526481,Mikey Moore
93894,Mateo Kovacic
388098,Jérémy Doku
425576,James McAtee
484175,Yankuba Minteh
402596,Elliot Anderson
315543,Ola Aina
136742,Jan Bednarek
404616,Lesley Ugochukwu
122182,Paul Onuachu
447231,Mateus Fernandes
136464,Tosin Adarabioyo
94042,Matt Doherty
363496,Marc Cucurella
391256,Kiernan Dewsbury-Hall
389935,Noni Madueke
353292,Trevoh Chalobah
344314,Marcus Tavernier
369875,Dominik Szoboszlai
345957,Ibrahima Konaté
381161,Jacob Greaves
417747,Julio Enciso
402664,Josko Gvardiol
394933,Matheus Nunes
121774,Ederson
148474,James Bree
343501,Sandro Tonali
467918,Myles Lewis-Skelly
403693,João Gomes
386519,Riccardo Calafiori
369813,Jacob Ramsey
101955,Emerson
322696,Edson Álvarez
469485,Romain Esse
400496,Daniel Muñoz
106981,Jamie Vardy
134332,Bobby De Cordova-Reid
433572,Bilal El Khannouss
355354,Curtis Jones
116317,Abdoulaye Doucouré
110189,Jordan Pickford
380546,Beto
131464,James Tarkowski
367781,James Garner
342877,Joe Aribo
403649,Rodrigo Muniz
243254,Andreas Pereira
86441,Lewis Dunk
386969,Neco Williams
328075,Ibrahim Sangaré
444826,Jota Silva
320242,Jean-Ricner Bellegarde
94868,Pablo Sarabia
362758,Matheus Cunha
238940,Thomas Partey
332325,Declan Rice
298689,Vitaly Janelt
403859,Pape Matar Sarr
322596,Jarrod Bowen
337916,Pedro Neto
381045,Jarrad Branthwaite
416208,Tim Iroegbunam
400138,Bart Verbruggen
39308,Danny Welbeck
299271,Axel Tuanzebe
430908,Omari Hutchinson
391348,Charly Alcaraz
396976,Calvin Bassey
394749,Omar Marmoush
77464,Ilkay Gündogan
422135,Kamaldeen Sulemana
377168,Luis Díaz
137015,James Maddison
401385,Fábio Carvalho
369430,Enzo Fernández
137467,Marco Asensio
300299,Marcus Rashford
399826,Illia Zabarnyi
377411,Marshall Munetsi
231135,Joachim Andersen
379688,Brennan Johnson
363516,Jack Clarke
362219,Djed Spence
407154,Dane Scarlett
469629,Jack Hinshelwood
471784,Brajan Gruda
474264,Lewis Miley
342563,Joe Willock
319785,Nikola Milenkovic
342830,Ryan Yates
300945,Christopher Nkunku
421351,Levi Colwill
523597,Tyrique George
345845,Eddie Nketiah
389579,Tyrick Mitchell
322611,Ryan Sessegnon
296363,Nélson Semedo
424495,Jake O'Brien
345516,Vitalii Mykolenko
411335,Jaden Philogene
134666,Sam Morsy
320374,Matthijs de Ligt
495260,Patrick Dorgu
99487,Harry Maguire
87182,Jannik Vestergaard
