Nombre,Apellido,team_name,Posicion,opponent_name,is_home,Precio,form,difficulty,valor,tendencia,status
Kevin,Danso,Spurs,Defender,Man Utd,True,43,2.0,1205,0.46511627906976744,0,a
Alphonse,Areola,West Ham,Goalkeeper,Burnley,True,43,2.0,1095,0.46511627906976744,0,a
Maxim,De Cuyper,Brighton,Defender,Crystal Palace,False,43,2.0,1165,0.46511627906976744,-1,a
Maximilian,Kilman,West Ham,Defender,Burnley,True,43,2.0,1095,0.46511627906976744,0,a
Milos,Kerkez,Liverpool,Defender,Man City,False,57,2.6,1250,0.45614035087719296,-1,a
Leny,Yoro,Man Utd,Defender,Spurs,False,44,2.0,1165,0.45454545454545453,0,a
Lewis,Miley,Newcastle,Midfielder,Brentford,False,44,2.0,1135,0.45454545454545453,0,a
Raúl,Jiménez Rodríguez,Fulham,Forward,Everton,False,62,2.8,1100,0.4516129032258064,0,a
Loum,Tchaouna,Burnley,Midfielder,West Ham,False,49,2.2,1075,0.4489795918367347,0,a
Djed,Spence,Spurs,Defender,Man Utd,True,45,2.0,1205,0.4444444444444444,0,a
Virgil,van Dijk,Liverpool,Defender,Man City,False,60,2.6,1250,0.43333333333333335,0,a
Enzo,Fernández,Chelsea,Midfielder,Wolves,True,67,2.8,1085,0.417910447761194,0,a
Bukayo,Saka,Arsenal,Midfielder,Sunderland,False,101,4.2,1100,0.4158415841584159,0,a
Jake,O'Brien,Everton,Defender,Fulham,True,49,2.0,1130,0.4081632653061224,-1,a
Sander,Berge,Fulham,Midfielder,Everton,False,49,2.0,1100,0.4081632653061224,0,a
Jørgen,Strand Larsen,Wolves,Forward,Chelsea,False,64,2.6,1180,0.40625,0,a
Jack,Grealish,Everton,Midfielder,Fulham,True,69,2.8,1130,0.40579710144927533,0,a
James,Hill,Bournemouth,Defender,Aston Villa,False,40,1.6,1145,0.4,0,a
Gabriel,Gudmundsson,Leeds,Defender,Nott'm Forest,False,40,1.6,1100,0.4,0,a
Mathys,Tel,Spurs,Midfielder,Man Utd,True,63,2.4,1205,0.38095238095238093,0,a
Sávio,Moreira de Oliveira,Man City,Midfielder,Liverpool,True,69,2.6,1265,0.37681159420289856,0,a
Joelinton Cássio,Apolinário de Lira,Newcastle,Midfielder,Brentford,False,59,2.2,1135,0.3728813559322034,0,a
Nico,González Iglesias,Man City,Midfielder,Liverpool,True,59,2.2,1265,0.3728813559322034,0,a
Justin,Kluivert,Bournemouth,Midfielder,Aston Villa,False,70,2.6,1145,0.37142857142857144,0,a
Malo,Gusto,Chelsea,Defender,Wolves,True,49,1.8,1085,0.36734693877551017,0,a
Pascal,Struijk,Leeds,Defender,Nott'm Forest,False,44,1.6,1100,0.36363636363636365,-1,a
Conor,Bradley,Liverpool,Defender,Man City,False,50,1.8,1250,0.36,0,a
Kieran,Trippier,Newcastle,Defender,Brentford,False,50,1.8,1135,0.36,0,a
Noah,Sadiki,Sunderland,Midfielder,Arsenal,True,50,1.8,1375,0.36,0,a
Dean,Henderson,Crystal Palace,Goalkeeper,Brighton,True,50,1.8,1160,0.36,0,a
Bernd,Leno,Fulham,Goalkeeper,Everton,False,50,1.8,1100,0.36,0,a
Sam,Johnstone,Wolves,Goalkeeper,Chelsea,False,45,1.6,1180,0.35555555555555557,0,a
Jackson,Tchatchoua,Wolves,Defender,Chelsea,False,45,1.6,1180,0.35555555555555557,0,a
Álex,Jiménez Sánchez,Bournemouth,Defender,Aston Villa,False,45,1.6,1145,0.35555555555555557,0,a
Josh,King,Fulham,Midfielder,Everton,False,45,1.6,1100,0.35555555555555557,0,a
