player_id,game_id,type,subType
383,1821095,1,1
383,1821095,1,1
397,1821095,1,1
713,1821092,1,1
73,1821092,1,1
487,1821092,1,1
27,1821092,1,1
450,1821089,1,1
64,1821089,1,1
38,1821089,1,1
299,1821094,1,1
525,1821091,1,2
163,1821091,1,1
178,1821091,1,1
137,1821091,2,2
430,1821096,1,1
7,1821096,1,1
5,1821096,1,1
20,1821096,2,2
409,1821096,1,1
403,1821105,1,1
485,1821105,1,2
19,1821100,1,1
20,1821100,1,1
706,1821100,1,1
706,1821100,1,1
30,1821100,1,1
119,1821101,1,1
613,1821101,1,1
158,1821102,1,1
235,1821102,1,1
235,1821102,1,2
235,1821102,1,1
167,1821102,1,1
235,1821102,1,1
260,1821104,1,1
300,1821104,1,1
300,1821104,1,1
713,1821107,1,2
374,1821108,1,1
402,1821108,1,1
381,1821108,1,2
250,1821103,1,1
47,1821103,1,1
64,1821103,1,1
250,1821103,1,1
580,1821106,1,1
127,1821106,2,3
583,1821106,1,1
596,1821106,1,1
97,1821099,1,1
83,1821099,1,1
82,1821099,1,1
440,1821115,1,1
106,1821112,1,1
450,1821112,1,1
119,1821112,1,2
654,1821112,1,1
24,1821112,1,1
111,1821112,1,1
23,1821112,1,1
402,1821112,1,1
30,1821109,1,1
19,1821109,1,1
16,1821109,1,1
168,1821116,1,1
327,1821117,1,1
364,1821117,1,1
364,1821117,1,1
418,1821117,1,1
338,1821117,1,1
250,1821118,1,1
582,1821118,1,1
624,1821118,1,1
665,1821118,1,1
525,1821114,1,1
18,1821114,1,1
614,1821114,2,2
580,1821113,1,1
581,1821113,1,1
160,1821113,1,1
158,1821113,1,1
178,1821113,1,1
582,1821151,1,1
583,1821151,1,1
587,1821151,1,1
600,1821151,1,3
579,1821151,1,1
582,1821151,2,3
178,1821143,1,1
168,1821149,1,1
239,1821149,1,2
713,1821131,1,1
47,1821131,1,1
64,1821131,1,1
317,1821131,2,3
320,1821131,1,3
453,1821140,1,1
111,1821140,1,1
465,1821140,1,1
299,1821133,1,1
110,1821133,1,1
6,1821129,2,3
87,1821129,1,1
81,1821129,1,2
654,1821153,1,1
403,1821153,1,1
409,1821153,1,1
381,1821136,1,2
251,1821136,1,1
388,1821136,1,1
525,1821146,1,1
522,1821209,1,1
239,1821209,1,1
525,1821209,1,1
525,1821209,1,1
55,1821190,1,1
97,1821190,1,1
135,1821193,1,1
135,1821193,1,1
119,1821193,1,2
250,1821193,1,1
119,1821193,1,1
430,1821214,1,1
178,1821195,1,1
179,1821195,1,1
402,1821195,1,1
450,1821195,1,1
324,1821203,1,1
251,1821197,1,1
499,1821197,1,1
235,1821197,1,1
283,1821201,1,1
615,1821218,1,1
624,1821218,1,2
16,1821189,1,1
373,1821189,1,1
22,1821189,1,1
381,1821189,1,1
