element,fixture,total_points
470690,1821367,5
369875,1821367,5
425142,1821367,5
469629,1821367,5
402810,1821370,5
345845,1821370,5
345845,1821370,5
299272,1821370,5
333048,1821370,5
332403,1821370,5
394749,1821376,5
136741,1821376,5
93894,1821376,-1
136456,1821376,-1
422939,1821376,5
415163,1821376,5
357073,1821380,5
357073,1821380,5
77464,1821382,5
315227,1821382,0
105172,1821384,5
349671,1821384,5
322596,1821384,5
400166,1821384,5
322670,1821331,5
363884,1821331,-1
108226,1821331,5
102248,1821333,-1
386634,1821333,5
69344,1821333,0
391348,1821336,5
421351,1821339,5
297403,1821342,5
397143,1821342,5
247454,1821342,5
136459,1821345,0
469629,1821345,5
469629,1821345,5
342889,1821345,0
446133,1821345,5
353377,1821348,5
377411,1821348,5
383956,1821049,5
326413,1821052,5
367185,1821052,5
425142,1821054,5
39308,1821054,5
8166,1821054,-1
443004,1821054,5
235755,1821050,5
108226,1821050,5
82726,1821055,-1
201755,1821055,5
73380,1821056,5
357073,1821056,5
400815,1821057,5
319756,1821057,0
433517,1821057,5
353377,1821058,5
342499,1821058,0
296240,1821058,5
315227,1821051,5
93894,1821051,5
362352,1821053,5
106981,1821053,5
113994,1821060,5
238940,1821060,5
39308,1821061,5
386634,1821061,5
373525,1821061,5
143595,1821062,5
322596,1821062,5
363686,1821063,5
299693,1821063,5
136824,1821063,5
138686,1821065,5
315227,1821065,0
73084,1821065,5
315227,1821065,5
315227,1821065,5
332867,1821066,5
303096,1821067,5
91909,1821067,5
323663,1821067,5
91909,1821067,5
344314,1821059,5
349669,1821059,5
377168,1821064,5
108226,1821064,5
426050,1821068,5
362758,1821068,5
395692,1821068,5
389935,1821068,5
333048,1821068,5
389935,1821068,5
389935,1821068,5
362431,1821068,5
326413,1821069,5
332325,1821069,-1
373525,1821069,5
353377,1821071,5
353377,1821071,5
296240,1821071,5
379783,1821071,5
107941,1821074,5
141469,1821074,5
357073,1821074,5
136456,1821074,5
361879,1821074,5
401254,1821075,5
140088,1821075,5
400815,1821076,5
433517,1821076,5
432384,1821076,5
73380,1821077,5
320242,1821077,5
315227,1821078,5
313171,1821078,0
315227,1821078,5
315227,1821078,5
426050,1821073,5
332403,1821073,5
377168,1821070,5
377168,1821070,5
108226,1821070,5
331382,1821072,5
82277,1821072,0
299254,1821072,5
357427,1821079,5
141469,1821079,5
148503,1821079,5
