player_id,player_name,season_name,start_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,bonus,yellow_cards,red_cards
83,Dango Ouattara,2024/25,50,111,1998,7,4,7,23,7,3,0
101,Caoimhín Kelleher,2023/24,40,34,900,0,0,2,11,3,0,0
101,Caoimhín Kelleher,2024/25,45,45,900,0,0,4,12,1,0,0
102,Ellery Balcombe,2022/23,40,0,0,0,0,0,0,0,0,0
102,Ellery Balcombe,2023/24,40,0,0,0,0,0,0,0,0,0
103,Matthew Cox,2022/23,40,0,0,0,0,0,0,0,0,0
103,Matthew Cox,2023/24,40,0,0,0,0,0,0,0,0,0
104,Julian Eyestone,2024/25,40,0,0,0,0,0,0,0,0,0
105,Hákon Rafn Valdimarsson,2023/24,40,0,0,0,0,0,0,0,0,0
105,Hákon Rafn Valdimarsson,2024/25,40,2,144,0,0,0,2,0,0,0
106,Nathan Collins,2023/24,45,84,2649,1,1,7,51,8,3,0
106,Nathan Collins,2024/25,45,127,3420,2,7,8,57,11,5,0
107,Keane Lewis-Potter,2023/24,50,73,1428,3,2,6,29,1,0,0
107,Keane Lewis-Potter,2024/25,50,94,3092,1,5,8,49,0,7,0
108,Kristoffer Ajer,2023/24,45,68,1826,2,1,5,33,3,5,0
108,Kristoffer Ajer,2024/25,45,39,1433,0,0,3,25,0,5,0
109,Rico Henry,2023/24,45,13,401,0,1,1,5,0,1,0
109,Rico Henry,2024/25,45,4,94,0,0,0,3,0,0,0
110,Michael Kayode,2024/25,45,27,523,0,1,2,5,0,2,0
111,Ethan Pinnock,2023/24,45,77,2521,2,0,5,46,5,1,0
111,Ethan Pinnock,2024/25,45,47,1912,2,0,2,35,0,2,0
112,Mads Roerslev Rasmussen,2023/24,45,75,1975,1,2,5,40,3,1,0
112,Mads Roerslev Rasmussen,2024/25,45,36,1100,0,2,2,20,0,2,0
113,Sepp van den Berg,2023/24,40,0,0,0,0,0,0,0,0,0
113,Sepp van den Berg,2024/25,40,62,2584,0,1,5,49,1,3,0
114,Benjamin Arthur,2023/24,40,0,0,0,0,0,0,0,0,0
114,Benjamin Arthur,2024/25,40,0,0,0,0,0,0,0,0,0
115,Benjamin Fredrick,2023/24,40,0,0,0,0,0,0,0,0,0
115,Benjamin Fredrick,2024/25,40,0,0,0,0,0,0,0,0,0
116,Aaron Hickey,2023/24,45,17,713,0,0,2,12,0,5,0
116,Aaron Hickey,2024/25,45,0,0,0,0,0,0,0,0,0
117,Kim Ji-soo,2023/24,40,0,0,0,0,0,0,0,0,0
117,Kim Ji-soo,2024/25,40,3,28,0,0,0,0,0,0,0
118,Jayden Meghoma,2024/25,40,1,4,0,0,0,0,0,0,0
120,Kevin Schade,2023/24,55,33,327,2,2,1,5,2,0,0
120,Kevin Schade,2024/25,55,149,2281,11,4,10,34,12,3,0
121,Mikkel Damsgaard,2023/24,50,45,829,0,4,5,9,0,2,0
121,Mikkel Damsgaard,2024/25,50,131,2911,2,10,11,41,10,2,0
123,Fábio Freitas Gouveia Carvalho,2022/23,55,27,339,2,1,0,3,0,0,0
123,Fábio Freitas Gouveia Carvalho,2024/25,50,35,443,2,1,0,14,1,1,0
124,Jordan Henderson,2022/23,55,69,2060,0,3,8,30,0,2,0
124,Jordan Henderson,2023/24,50,0,0,0,0,0,0,0,0,0
125,Vitaly Janelt,2023/24,55,93,3054,1,4,9,52,1,8,0
