fpl_name,csv_name,fpl_id,csv_id
Issa Diop,Issa Diop,320,300359
Jorge Cuenca Barreno,Jorge Cuenca,321,333182
Kenny Tete,Kenny Tete,322,145996
Alex Iwobi,Alex Iwobi,324,136824
Emile Smith Rowe,Emile Smith Rowe,325,363686
Adama Traoré Diarra,Adama Traoré,326,140088
Ryan Sessegnon,Ryan Sessegnon,328,322611
Harry Wilson,Harry Wilson,329,333044
Sander Berge,Sander Berge,330,321020
Tom Cairney,Tom Cairney,331,79583
Josh King,Josh King,335,515865
Harrison Reed,Harrison Reed,336,135724
Raúl Jiménez Rodríguez,Raúl Jiménez,337,108186
Samuel Chukwueze,Samuel Chukwueze,727,363665
Kevin Santos Lopes de Macedo,Kevin,731,429174
Jonah Kusi-Asare,Jonah Kusi-Asare,737,547830
Karl Darlow,Karl Darlow,341,70483
Jayden Bogle,Jayden Bogle,342,354291
Pascal Struijk,Pascal Struijk,343,355609
Jaka Bijol,Jaka Bijol,344,360941
Sam Byram,Sam Byram,346,118303
Gabriel Gudmundsson,Gabriel Gudmundsson,347,330549
Joe Rodon,Joe Rodon,348,302312
Brenden Aaronson,Brenden Aaronson,350,371012
Wilfried Gnonto,Wilfried Gnonto,351,439636
Jack Harrison,Jack Harrison,352,317896
Daniel James,Daniel James,353,302313
Ethan Ampadu,Ethan Ampadu,354,322418
Ilia Gruev,Ilia Gruev,356,382590
Tanaka Ao,Ao Tanaka,358,423347
Joël Piroe,Joël Piroe,362,369542
Lukas Nmecha,Lukas Nmecha,365,347340
Sean Longstaff,Sean Longstaff,493,342811
Anton Stach,Anton Stach,660,401073
Lucas Estella Perri,Lucas Digne,665,89925
Dominic Calvert-Lewin,Dominic Calvert-Lewin,691,141469
Noah Okafor,Noah Okafor,698,376090
James Justin,James Justin,706,301441
Giorgi Mamardashvili,Giorgi Mamardashvili,367,401633
Milos Kerkez,Milos Kerkez,371,424273
Andrew Robertson,André,372,397585
Virgil van Dijk,Virgil van Dijk,373,95408
Ibrahima Konaté,Ibrahima Konaté,374,345957
Conor Bradley,Conor Bradley,375,424945
Joe Gomez,Joe Gomez,376,136451
Mohamed Salah,Mohamed Salah,381,108226
Florian Wirtz,Florian Wirtz,382,394786
Cody Gakpo,Cody Gakpo,384,352825
Federico Chiesa,Federico Chiesa,385,322971
Alexis Mac Allister,Alexis Mac Allister,386,345319
Dominik Szoboszlai,Dominik Szoboszlai,387,369875
Curtis Jones,Curtis Jones,388,355354
Ryan Gravenberch,Ryan Gravenberch,390,363884
Endo Wataru,Wataru Endo,392,86829
Alexander Isak,Alexander Isak,499,299254
Hugo Ekitiké,Hugo Ekitiké,661,403784
Rio Ngumoha,Rio Ngumoha,686,548566
James Trafford,James Trafford,182,404852
Stefan Ortega Moreno,Stefan Ortega,400,133569
Rayan Aït-Nouri,Rayan Aït-Nouri,402,355401
Joško Gvardiol,Josko Gvardiol,403,402664
Nathan Aké,Nathan Aké,405,122945
Abdukodir Khusanov,Abdukodir Khusanov,406,493206
Matheus Nunes,Matheus Nunes,407,394933
Rúben dos Santos Gato Alves Dias,Rúben Dias,408,313171
John Stones,John Stones,409,101374
Rico Lewis,Rico Lewis,410,444791
Nico O'Reilly,Nico O'Reilly,411,468847
Omar Marmoush,Omar Marmoush,413,394749
Phil Foden,Phil Foden,414,331254
Sávio Moreira de Oliveira,Kevin De Bruyne,415,73084
Bernardo Mota Veiga de Carvalho e Silva,Bobby De Cordova-Reid,416,134332
Rayan Cherki,Rayan Cherki,417,386153
Jérémy Doku,Jérémy Doku,418,388098
Nico González Iglesias,Nico González,423,422939
Oscar Bobb,Oscar Bobb,424,430709
Tijjani Reijnders,Tijjani Reijnders,427,343382
Kalvin Phillips,Kalvin Phillips,429,270446
Erling Haaland,Erling Haaland,430,315227
Gianluigi Donnarumma,Gianluigi Donnarumma,736,262515
Bryan Mbeumo,Bryan Mbeumo,119,353377
Altay Bayındır,Altay Bayindir,431,361707
Matthijs de Ligt,Matthijs de Ligt,436,320374
Noussair Mazraoui,Noussair Mazraoui,438,349932
Diego León Blanco,Diego Gómez,439,446133
Diogo Dalot Teixeira,Diogo Dalot,440,353418
Patrick Dorgu,Patrick Dorgu,441,495260
Luke Shaw,Luke Shaw,443,118244
Leny Yoro,Leny Yoro,444,437299
Tyler Fredricson,Tyler Fredricson,446,455860
Ayden Heaven,Ayden Heaven,447,517341
Tyrell Malacia,Tyrell Malacia,448,345303
Bruno Borges Fernandes,Bruno Fernandes,449,123761
Matheus Santos Carneiro da Cunha,Matheus Nunes,450,394933
Amad Diallo,Amad Diallo,452,386634
Mason Mount,Mason Mount,455,343346
Carlos Henrique Casimiro,Carlos Baleba,457,436048
Manuel Ugarte Ribeiro,Manuel Ugarte,459,408962
Joshua Zirkzee,Joshua Zirkzee,466,383956
Chido Obi,Chido Obi,467,553325
Senne Lammens,Senne Lammens,733,402184
Jacob Ramsey,Jacob Ramsey,52,369813
Nick Pope,Nick Pope,469,105720
Lewis Hall,Lewis Hall,473,430294
Fabian Schär,Fabian Schär,474,82726
Sven Botman,Sven Botman,475,379732
Kieran Trippier,Kieran Trippier,478,83078
Emil Krafth,Emil Krafth,479,100599
Jamaal Lascelles,Jamaal Lascelles,480,105171
Anthony Elanga,Anthony Elanga,486,413211
Harvey Barnes,Harvey Barnes,487,331382
