jugador_id,nombre_jugador
103837,Ben Davies
526481,Mikey Moore
107941,Michael Keane
121774,Ederson
287504,Ben Godfrey
388098,Jérémy Doku
231118,Cameron Burgess
313171,Rúben Dias
454820,Divin Mubama
411335,Jaden Philogene
110555,Massimo Luongo
299271,Axel Tuanzebe
468847,Nico O'Reilly
122926,Solly March
386979,Tariq Lamptey
417747,Julio Enciso
446133,Diego Gómez
332402,Ryan Manning
432672,Ramón Sosa
353292,Trevoh Chalobah
391256,Kiernan Dewsbury-Hall
300426,Axel Disasi
523597,Tyrique George
344314,Marcus Tavernier
550772,Zain Silcott-Duberry
469629,Jack Hinshelwood
367781,James Garner
108640,Conor Townsend
86829,Wataru Endo
517340,Jayden Danns
493206,Abdukodir Khusanov
394749,Omar Marmoush
101374,John Stones
300945,Christopher Nkunku
38577,Alex McCarthy
93160,Ryan Fraser
351354,Donyell Malen
469485,Romain Esse
94935,Ben Mee
345303,Tyrell Malacia
303657,Rodrigo Bentancur
468091,Will Lankshear
447492,Woyo Coulibaly
409426,Mads Hermansen
416208,Tim Iroegbunam
389158,Welington
424809,Albert Grønbæk
362426,Arijanet Muric
92550,Jack Stephens
322611,Ryan Sessegnon
399250,Danilo
97587,Willy Boly
423720,Evan Ferguson
328075,Ibrahim Sangaré
469329,Andrés García
431283,Toti Gomes
492955,Kosta Nedeljkovic
412313,Hákon Valdimarsson
321085,Kristoffer Ajer
470031,Michael Kayode
407154,Dane Scarlett
401385,Fábio Carvalho
430774,Adam Wharton
404749,Filip Jörgensen
322596,Jarrod Bowen
391348,Charly Alcaraz
280770,Alex Palmer
300299,Marcus Rashford
137467,Marco Asensio
299272,Ben Chilwell
135724,Harrison Reed
29463,Willian
327683,Wilfred Ndidi
422939,Nico González
134115,Callum Wilson
100599,Emil Krafth
410998,Alex Scott
361879,Luis Sinisterra
342499,Ethan Pinnock
377411,Marshall Munetsi
430019,Jarell Quansah
330816,Kevin Danso
88526,Casemiro
422885,Mathys Tel
495260,Patrick Dorgu
147863,Guglielmo Vicario
444751,Wilson Odobert
553325,Chido Obi
495584,Yunus Konak
322036,Ben White
450392,Nasser Djiga
401044,Destiny Udogie
369970,Armel Bella-Kotchap
445059,Mats Wieffer
105720,Nick Pope
511364,Mathis Amougou
544167,Shumaira Mheuka
41554,Robin Olsen
333182,Jorge Cuenca
100008,Victor Lindelöf
373946,Wesley Fofana
120763,Ricardo Pereira
517341,Ayden Heaven
323663,Cristian Romero
425229,Micky van de Ven
447229,Youssef Chermiti
365406,Benoît Badiashile
470680,Harry Amass
424462,Jakub Kiwior
367185,Bukayo Saka
343346,Mason Mount
386612,Boubacar Traoré
69877,Adam Smith
328330,Marcos Senesi
344259,Pau Torres
414168,Eiran Cashin
322176,Caoimhín Kelleher
430709,Oscar Bobb
478314,Vitor Reis
428635,Matheus França
43105,Joel Ward
357427,Dwight McNeil
256129,Conor Chaplin
145996,Kenny Tete
397143,Ross Stewart
552366,Jeremy Monga
492869,Gustavo Nunes
558411,Jake Evans
538255,Jay Robinson
361707,Altay Bayindir
118244,Luke Shaw
437310,Julio Soler
136776,Matt Targett
371039,Julián Araujo
363077,Carlos Vinícius
467919,Nathan Butler-Oyedeji
134543,Dan Bentley
455860,Tyler Fredricson
298659,Harry Toffolo
513544,Michael Golding
443784,Igor Thiago
454749,Martial Godo
31826,Séamus Coleman
554310,Mateus Mané
511704,Joachim Kayi-Sanda
558409,Harry Howell
303139,Rodri
558410,Olabade Aluko
478241,Claudio Echeverri
22079,Jonny Evans
4511,James Milner
243164,Tom King
403784,Hugo Ekitiké
392644,Jeremie Frimpong
398301,Adrien Truffert
394786,Florian Wirtz
366875,Bafodé Diakité
406564,Djordje Petrovic
136451,Joe Gomez
362551,Hamed Traoré
479170,Eli Kroupi
83824,Marco Bizot
392647,Maxim De Cuyper
321958,Ferdi Kadioglu
89401,Granit Xhaka
437449,Noah Sadiki
494670,Eliezer Mayenda
479288,El Hadji Malick Diouf
362434,Nayef Aguerd
371761,Dan Ballard
422814,Robin Roefs
361812,Reinildo Mandava
428694,Jenson Seelt
424514,Trai Hume
476110,Chemsdine Talbi
422818,Habib Diarra
344639,Omar Alderete
398393,Enzo Le Fée
363535,Wilson Isidor
469645,Chris Rigg
414233,Maxime Estève
444739,Quilindschy Hartman
273292,Josh Cullen
399619,Hjalmar Ekdal
142676,Josh Laurent
444334,Oliver Sonne
371447,Lyle Foster
416207,Hannibal Mejbri
400610,Jaidon Anthony
307202,Jacob Bruun Larsen
361694,Zian Flemming
425118,Loum Tchaouna
322774,João Palhinha
279177,Marcus Edwards
404852,James Trafford
415341,David Møller Wolfe
343382,Tijjani Reijnders
368547,Ki-Jana Hoever
409730,Hugo Bueno
544982,Fer López
424039,Jhon Arias
386153,Rayan Cherki
436425,Jamie Gittens
510728,Estêvão
451236,Andrey Santos
362815,Viktor Gyökeres
372424,Martín Zubimendi
424191,Benjamin Sesko
422921,Antoni Milambo
398414,Dan Ndoye
404109,Frank Onyeka
68659,Jordan Henderson
397497,Igor Jesus
402367,Aaron Hickey
322418,Ethan Ampadu
423347,Ao Tanaka
369542,Joël Piroe
401073,Anton Stach
354291,Jayden Bogle
355609,Pascal Struijk
439636,Wilfried Gnonto
330549,Gabriel Gudmundsson
302312,Joe Rodon
302313,Daniel James
307564,Lucas Perri
371012,Brenden Aaronson
347340,Lukas Nmecha
382590,Ilia Gruev
537713,Thierno Barry
429534,Freddie Potts
467715,Jorrel Hato
571994,Max Dowman
425591,Cristhian Mosquera
376090,Noah Okafor
118303,Sam Byram
408580,Jackson Tchatchoua
389409,Amine Adli
382587,Evann Guessand
136462,Patrick Roberts
315714,Joe Worrall
384005,Arnaud Kalimuendo
317504,Odsonne Édouard
393355,Malick Thiaw
548566,Rio Ngumoha
299077,Nordi Mukiele
377271,Sasa Kalajdzic
403865,Yéremy Pino
550064,Bradley Burrowes
429683,Diego Coppola
450289,Nicolò Savona
402130,Dilane Bakwa
510940,Veljko Milosavljevic
519565,Stefanos Tzimas
497295,Álex Jiménez
404568,Brian Brobbey
531674,Christantus Uche
345441,Lutsharel Geertruida
419945,Merlin Röhl
70483,Karl Darlow
429174,Kevin
402056,Tolu Arokodare
425060,Yerson Mosquera
105603,Sam Johnstone
386606,Nick Woltemade
404245,Ladislav Krejcí
399772,Xavi Simons
443815,Soungoutou Magassa
369712,Florentino
262515,Gianluigi Donnarumma
337883,Douglas Luiz
105171,Jamaal Lascelles
122980,Arthur Masuaku
399427,Dan Neil
430350,Ben Gannon-Doak
467968,Bashir Humphreys
109807,Bertrand Traoré
363665,Samuel Chukwueze
484501,Callum Marshall
401633,Giorgi Mamardashvili
402184,Senne Lammens
443545,Jair Cunha
533923,Charalampos Kostoulas
33386,Ashley Barnes
333542,Randal Kolo Muani
360941,Jaka Bijol
470715,Tom Watson
547830,Jonah Kusi-Asare
404832,Piero Hincapié
270829,Borna Sosa
551871,Joe Knight
591587,Nehemiah Oriola
342564,Reiss Nelson
531676,Jaydee Canvot
436501,Lucas Pires
