id,kickoff_time,team_h,team_a,team_h_score,team_a_score
1821331,2025-05-25T16:00:00,26,162,1,1
1821333,2025-05-25T16:00:00,32,24,2,0
1821336,2025-05-25T16:00:00,23,31,0,1
1821339,2025-05-25T16:00:00,174,15,0,1
1821342,2025-05-25T16:00:00,18,13,1,2
1821345,2025-05-25T16:00:00,30,211,1,4
1821348,2025-05-25T16:00:00,161,189,1,1
1821049,2024-08-16T20:00:00,32,170,1,0
1821052,2024-08-17T15:00:00,13,161,2,0
1821054,2024-08-17T15:00:00,31,211,0,3
1821050,2024-08-17T12:30:00,165,26,0,2
1821055,2024-08-17T15:00:00,23,18,1,0
1821056,2024-08-17T15:00:00,174,183,1,1
1821057,2024-08-17T17:30:00,29,24,1,2
1821058,2024-08-18T14:00:00,189,162,2,1
1821051,2024-08-18T16:30:00,15,167,0,2
1821053,2024-08-19T20:00:00,14,30,1,1
1821060,2024-08-24T17:30:00,24,13,0,2
1821061,2024-08-24T12:30:00,211,32,2,1
1821062,2024-08-24T15:00:00,162,29,0,2
1821063,2024-08-24T15:00:00,170,14,2,1
1821065,2024-08-24T15:00:00,167,165,4,1
1821066,2024-08-24T15:00:00,18,174,0,1
1821067,2024-08-24T15:00:00,30,31,4,0
1821059,2024-08-25T14:00:00,183,23,1,1
1821064,2024-08-25T16:30:00,26,189,2,0
1821068,2024-08-25T14:00:00,161,15,2,6
1821069,2024-08-31T12:30:00,13,211,1,1
1821071,2024-08-31T15:00:00,189,18,3,1
1821074,2024-08-31T15:00:00,31,183,2,3
1821075,2024-08-31T15:00:00,165,170,1,1
1821076,2024-08-31T15:00:00,14,24,1,2
1821077,2024-08-31T15:00:00,174,161,1,1
1821078,2024-08-31T17:30:00,29,167,1,3
1821073,2024-09-01T13:30:00,15,162,1,1
1821070,2024-09-01T16:00:00,32,26,0,3
1821072,2024-09-01T13:30:00,23,30,2,1
1821079,2024-09-14T17:30:00,24,31,3,2
1821080,2024-09-14T20:00:00,183,15,0,1
1821082,2024-09-14T15:00:00,211,165,0,0
1821084,2024-09-14T15:00:00,162,14,2,2
1821087,2024-09-14T15:00:00,170,29,1,1
1821088,2024-09-14T15:00:00,26,174,0,1
1821085,2024-09-14T15:00:00,167,189,2,1
1821081,2024-09-14T12:30:00,18,32,0,3
1821083,2024-09-15T14:00:00,30,13,0,1
1821086,2024-09-15T16:30:00,161,23,1,2
1821089,2024-09-21T15:00:00,24,161,3,1
1821093,2024-09-21T17:30:00,162,32,0,0
1821092,2024-09-21T15:00:00,170,23,3,1
1821094,2024-09-21T15:00:00,14,31,1,1
1821095,2024-09-21T15:00:00,26,183,3,0
1821097,2024-09-21T15:00:00,18,165,1,1
1821090,2024-09-21T15:00:00,30,189,3,1
1821098,2024-09-21T12:30:00,29,15,0,3
1821091,2024-09-22T14:00:00,211,174,2,2
1821096,2024-09-22T16:30:00,167,13,2,2
1821100,2024-09-28T15:00:00,13,14,4,2
1821101,2024-09-28T15:00:00,189,29,1,1
1821102,2024-09-28T15:00:00,15,211,4,2
1821104,2024-09-28T15:00:00,31,162,2,1
1821105,2024-09-28T12:30:00,23,167,1,1
1821107,2024-09-28T15:00:00,174,170,0,1
1821108,2024-09-28T17:30:00,161,26,1,2
1821103,2024-09-29T14:00:00,165,24,2,2
1821106,2024-09-29T16:30:00,32,30,0,3
1821099,2024-09-30T20:00:00,183,18,3,1
1821109,2024-10-05T15:00:00,13,18,3,1
1821112,2024-10-05T15:00:00,189,161,5,3
1821115,2024-10-05T12:30:00,162,26,0,1
1821111,2024-10-05T17:30:00,31,23,0,0
1821116,2024-10-05T15:00:00,14,183,1,0
1821117,2024-10-05T15:00:00,167,170,3,2
1821118,2024-10-05T15:00:00,29,165,4,1
1821110,2024-10-06T14:00:00,24,32,0,0
1821113,2024-10-06T16:30:00,211,30,3,2
1821114,2024-10-06T14:00:00,15,174,1,1
1821129,2024-10-19T17:30:00,183,13,2,0
1821131,2024-10-19T15:00:00,170,24,1,3
1821133,2024-10-19T15:15:00,165,31,0,2
1821140,2024-10-19T15:00:00,32,189,2,1
1821143,2024-10-19T15:00:00,23,211,0,1
1821149,2024-10-19T15:00:00,18,14,2,3
1821151,2024-10-19T12:30:00,30,29,4,1
1821136,2024-10-20T16:30:00,26,15,2,1
1821153,2024-10-20T14:00:00,161,167,1,2
1821146,2024-10-21T20:00:00,174,162,1,0
1821209,2024-10-25T20:00:00,14,174,1,3
1821190,2024-10-26T15:00:00,24,183,1,1
1821193,2024-10-26T15:00:00,189,165,4,3
1821195,2024-10-26T15:00:00,211,161,2,2
1821203,2024-10-26T17:30:00,31,170,1,1
1821214,2024-10-26T15:00:00,167,18,1,0
1821189,2024-10-27T16:30:00,13,26,2,2
1821197,2024-10-27T14:00:00,15,23,2,1
1821201,2024-10-27T14:00:00,162,30,1,0
1821218,2024-10-27T14:00:00,29,32,2,1
