partido_id,competicion_id,fecha_inicio,estado,equipo_local_id,equipo_visitante_id,goles_local,goles_visitante,tiempo_transcurrido
1821359,23400,2025-05-10 14:00:00,6,19,7,0,2,FT
1821347,23400,2025-05-11 15:30:00,6,17,2,2,2,FT
1821349,23400,2025-05-11 13:15:00,6,18,11,0,2,FT
1821351,23400,2025-05-11 11:00:00,6,14,9,2,0,FT
1821353,23400,2025-05-11 13:15:00,6,20,4,2,2,FT
1821357,23400,2025-05-11 13:15:00,6,13,8,0,2,FT
1821363,23400,2025-05-16 18:30:00,6,3,13,2,0,FT
1821369,23400,2025-05-16 19:15:00,6,9,18,1,0,FT
1821361,23400,2025-05-18 15:30:00,6,2,14,1,0,FT
1821365,23400,2025-05-18 14:00:00,6,1,15,2,3,FT
1821373,23400,2025-05-18 11:00:00,6,6,12,2,0,FT
1821375,23400,2025-05-18 14:00:00,6,4,16,2,0,FT
1821378,23400,2025-05-18 13:15:00,6,11,20,1,2,FT
1821367,23400,2025-05-19 19:00:00,6,7,17,3,2,FT
1821370,23400,2025-05-20 19:00:00,6,8,19,4,2,FT
1821376,23400,2025-05-20 19:00:00,6,10,5,3,1,FT
1821380,23400,2025-05-25 15:00:00,6,5,4,2,0,FT
1821382,23400,2025-05-25 15:00:00,6,15,10,0,2,FT
1821384,23400,2025-05-25 15:00:00,6,16,11,1,3,FT
1821331,23400,2025-05-25 15:00:00,6,17,8,1,1,FT
1821333,23400,2025-05-25 15:00:00,6,18,3,2,0,FT
1821336,23400,2025-05-25 15:00:00,6,14,6,0,1,FT
1821339,23400,2025-05-25 15:00:00,6,20,9,0,1,FT
1821342,23400,2025-05-25 15:00:00,6,12,2,1,2,FT
1821345,23400,2025-05-25 15:00:00,6,13,7,1,4,FT
1821348,23400,2025-05-25 15:00:00,6,19,1,1,1,FT
1903117,23400,2025-08-15 19:00:00,6,17,5,4,2,FT
1903118,23400,2025-08-16 11:30:00,6,3,14,0,0,FT
1903119,23400,2025-08-16 14:00:00,6,7,15,1,1,FT
1903121,23400,2025-08-16 14:00:00,6,21,11,3,0,FT
1903122,23400,2025-08-16 14:00:00,6,13,22,3,0,FT
1903123,23400,2025-08-16 16:30:00,6,19,10,0,4,FT
1903124,23400,2025-08-17 13:00:00,6,9,8,0,0,FT
1903125,23400,2025-08-17 15:30:00,6,18,2,0,1,FT
1903120,23400,2025-08-17 13:00:00,6,20,1,3,1,FT
1903126,23400,2025-08-18 19:00:00,6,23,6,1,0,FT
1903136,23400,2025-08-22 19:00:00,6,11,9,1,5,FT
1903128,23400,2025-08-23 16:30:00,6,2,23,5,0,FT
1903127,23400,2025-08-23 14:00:00,6,5,19,1,0,FT
1903129,23400,2025-08-23 14:00:00,6,1,3,1,0,FT
1903130,23400,2025-08-23 14:00:00,6,22,21,2,0,FT
1903134,23400,2025-08-23 11:30:00,6,10,13,0,2,FT
1903131,23400,2025-08-24 13:00:00,6,8,20,1,1,FT
1903132,23400,2025-08-24 13:00:00,6,6,7,2,0,FT
1903133,23400,2025-08-24 15:30:00,6,15,18,1,1,FT
1903135,23400,2025-08-25 19:00:00,6,14,17,2,3,FT
1903141,23400,2025-08-30 11:30:00,6,9,15,2,0,FT
1903143,23400,2025-08-30 16:30:00,6,23,14,0,0,FT
1903146,23400,2025-08-30 14:00:00,6,18,22,3,2,FT
1903140,23400,2025-08-30 14:00:00,6,21,1,2,1,FT
1903142,23400,2025-08-30 14:00:00,6,13,5,0,1,FT
1903144,23400,2025-08-30 14:00:00,6,19,6,2,3,FT
1903137,23400,2025-08-31 18:00:00,6,3,8,0,3,FT
1903139,23400,2025-08-31 13:00:00,6,7,10,2,1,FT
1903145,23400,2025-08-31 15:30:00,6,17,2,1,0,FT
1903138,23400,2025-08-31 13:00:00,6,20,11,0,3,FT
1903148,23400,2025-09-13 11:30:00,6,2,20,3,0,FT
1903147,23400,2025-09-13 14:00:00,6,5,7,2,1,FT
1903149,23400,2025-09-13 19:00:00,6,1,9,2,2,FT
1903151,23400,2025-09-13 14:00:00,6,8,21,0,0,FT
1903152,23400,2025-09-13 14:00:00,6,6,3,0,0,FT
1903153,23400,2025-09-13 14:00:00,6,15,23,1,0,FT
1903155,23400,2025-09-13 14:00:00,6,14,19,1,0,FT
1903156,23400,2025-09-13 16:30:00,6,11,13,0,3,FT
1903150,23400,2025-09-14 13:00:00,6,22,17,0,1,FT
1903154,23400,2025-09-14 15:30:00,6,10,18,3,0,FT
1903159,23400,2025-09-20 14:00:00,6,7,13,2,2,FT
1903160,23400,2025-09-20 14:00:00,6,22,20,1,1,FT
1903162,23400,2025-09-20 19:00:00,6,15,1,3,1,FT
1903164,23400,2025-09-20 11:30:00,6,17,6,2,1,FT
1903167,23400,2025-09-20 16:30:00,6,18,9,2,1,FT
1903171,23400,2025-09-20 14:00:00,6,11,8,1,2,FT
1903173,23400,2025-09-20 14:00:00,6,19,23,1,3,FT
1903158,23400,2025-09-21 15:30:00,6,2,10,1,1,FT
1903157,23400,2025-09-21 13:00:00,6,5,14,0,0,FT
1903169,23400,2025-09-21 13:00:00,6,21,3,1,1,FT
1903177,23400,2025-09-27 11:30:00,6,1,18,3,1,FT
1903178,23400,2025-09-27 14:00:00,6,9,7,1,3,FT
1903179,23400,2025-09-27 14:00:00,6,8,17,2,1,FT
1903183,23400,2025-09-27 14:00:00,6,23,5,2,2,FT
1903185,23400,2025-09-27 14:00:00,6,10,22,5,1,FT
1903188,23400,2025-09-27 16:30:00,6,20,21,0,1,FT
1903161,23400,2025-09-27 19:00:00,6,13,19,1,1,FT
1903175,23400,2025-09-28 13:00:00,6,3,15,3,1,FT
1903186,23400,2025-09-28 15:30:00,6,14,2,1,2,FT
1903181,23400,2025-09-29 19:00:00,6,6,11,1,1,FT
1903163,23400,2025-10-03 19:00:00,6,5,15,3,1,FT
1903165,23400,2025-10-04 14:00:00,6,2,11,2,0,FT
1903170,23400,2025-10-04 16:30:00,6,9,17,2,1,FT
1903174,23400,2025-10-04 11:30:00,6,23,13,1,2,FT
1903176,23400,2025-10-04 14:00:00,6,18,21,2,0,FT
1903166,23400,2025-10-05 13:00:00,6,3,22,2,1,FT
1903168,23400,2025-10-05 15:30:00,6,1,10,0,1,FT
1903172,23400,2025-10-05 13:00:00,6,6,8,2,1,FT
1903180,23400,2025-10-05 13:00:00,6,14,20,2,0,FT
1903182,23400,2025-10-05 13:00:00,6,19,7,1,1,FT
1903184,23400,2025-10-18 14:00:00,6,7,14,2,1,FT
1903187,23400,2025-10-18 14:00:00,6,22,23,2,0,FT
1903189,23400,2025-10-18 14:00:00,6,8,5,3,3,FT
1903190,23400,2025-10-18 16:30:00,6,15,2,0,1,FT
1903192,23400,2025-10-18 14:00:00,6,10,6,2,0,FT
1903193,23400,2025-10-18 11:30:00,6,20,9,0,3,FT
1903194,23400,2025-10-18 14:00:00,6,21,19,2,0,FT
1903191,23400,2025-10-19 15:30:00,6,17,18,1,2,FT
1903195,23400,2025-10-19 13:00:00,6,13,3,1,2,FT
1903196,23400,2025-10-20 19:00:00,6,11,1,0,2,FT
1903203,23400,2025-10-24 19:00:00,6,23,11,2,1,FT
1903200,23400,2025-10-25 19:00:00,6,1,17,3,2,FT
1903201,23400,2025-10-25 14:00:00,6,9,21,1,2,FT
1903204,23400,2025-10-25 16:30:00,6,18,7,4,2,FT
1903205,23400,2025-10-25 14:00:00,6,14,15,2,1,FT
1903198,23400,2025-10-26 14:00:00,6,2,8,1,0,FT
1903199,23400,2025-10-26 14:00:00,6,3,10,1,0,FT
1903197,23400,2025-10-26 14:00:00,6,5,20,2,0,FT
1903202,23400,2025-10-26 16:30:00,6,6,13,0,3,FT
1903206,23400,2025-10-26 14:00:00,6,19,22,2,3,FT
1903207,23400,2025-11-01T15:00:00,6,7,23,3,0,FT
1903208,23400,2025-11-01T15:00:00,6,22,2,0,2,FT
1903209,23400,2025-11-01T15:00:00,6,8,1,2,0,FT
1903210,23400,2025-11-01T15:00:00,6,15,19,3,0,FT
1903211,23400,2025-11-01T20:00:00,6,17,3,2,0,FT
1903213,23400,2025-11-01T15:00:00,6,20,18,2,2,FT
1903215,23400,2025-11-01T17:30:00,6,13,9,0,1,FT
1903212,23400,2025-11-02T16:30:00,6,10,5,3,1,FT
1903216,23400,2025-11-02T14:00:00,6,11,14,3,1,FT
1903214,23400,2025-11-03T20:00:00,6,21,6,1,1,FT
1903219,23400,2025-11-08T20:00:00,6,9,19,3,0,FT
1903221,23400,2025-11-08T15:00:00,6,6,15,2,0,FT
1903224,23400,2025-11-08T17:30:00,6,21,2,2,2,FT
1903225,23400,2025-11-08T12:30:00,6,13,18,2,2,FT
1903226,23400,2025-11-08T15:00:00,6,11,22,3,2,FT
1903217,23400,2025-11-09T14:00:00,6,3,5,4,0,FT
1903218,23400,2025-11-09T14:00:00,6,1,14,3,1,FT
1903220,23400,2025-11-09T14:00:00,6,8,7,0,0,FT
1903222,23400,2025-11-09T16:30:00,6,10,17,3,0,FT
1903223,23400,2025-11-09T14:00:00,6,20,23,3,1,FT
